,review_text,Sentiment
363,in,Netral
364,in,Netral
365,the first time i came here for search and rescue training activities with friends  the place is very spacious  neat  well maintained and clean  i want to come here again to taste the rabbit satay again hehe,Positif
366,nest lake,Netral
367,in,Netral
368,good place to go on weekdays not enough spot for picnics but still enjoyable,Positif
369,in,Netral
370,a good place for recreation or tourism for families  htm entry is only rb a lot so there are also drinks there are boats and also horses if you want to go around the lake,Positif
371,in,Netral
372,cool nest lake,Positif
373,in,Netral
374,translated by google baby of the moon around the original nest baby of the moon around the nest,Positif
375,the nest of the lake from the pass looks very amazing,Positif
376,htm adults  children  boat insurance  people  round horses  round horses  tourist destinations which are always crowded  especially on holidays  because it is supported by very cool weather here and of course the facilities here are also very complete  which are served for tourists who visit here,Positif
377,in,Netral
378,in,Netral
379,accompanied by two light rains,Positif
380,translated by google the place is cool  suitable for busy workers to relax  drink coffee on the edge of the lake while eating satay  it is guaranteed to be delicious from year to year  the facilities are getting better  original  the place is cool  suitable for busy workers to relax  have a coffee at the edge of the lake while eating satay  it is guaranteed to be good from now on year after year i m still good,Positif
381,in,Netral
382,in,Netral
383,this place is very exciting,Positif
384,in,Netral
385,eye pleasing,Netral
386,favorite,Positif
387,seru recommended bangs,Netral
388,have fun on the ship,Positif
389,cold,Negatif
390,nice friendly seller,Positif
391,in,Netral
392,he said  if you want to go to lake como  indonesian style  you can come here to eat pecel while looking at the lake in the cool morning air  it s truly an immeasurable luxury  if you want to take a boat around the lake  you can rent rp  paving block so not muddy,Positif
393,in,Netral
394,extreme translated by google extreme,Negatif
395,pretty good tourist spot,Positif
396,great  the air is suejuukkk  the view is cool  thank you  ms  sand and mr  sand for making me happy there from sidoarjo,Positif
397,in,Netral
398,in,Netral
399,in,Netral
400,solid,Netral
401,in,Netral
402,in,Netral
403,i haven t gone here yet and i always come here again  the atmosphere is cool with views of mount lawu and several other mountains  it s amazing at night  again in the morning there are lots of pecel rice sellers  tempe mendoan  not bad for breakfast if you want to rent a boat once around  rb per person if you want to ride a horse  rp per person,Positif
404,in,Netral
405,in,Netral
406,in,Netral
407,cool place for healing too bad many shops were closed for good due to probably few tourists going there,Positif
408,very cool,Positif
409,in,Netral
410,in,Netral
411,a place for healing that is really suitable  especially fresh and the view is really cool after work continues to heal here  the fatigue immediately disappears,Positif
412,in,Netral
413,in,Netral
414,cool clean environment,Positif
415,the place is good  unfortunately  yesterday the date of playing there  the ticket price was doubled on the written ticket  but the insurance is paid per person  so the parking fee is also more expensive per motorbike  if you are a car or bus  you don t know  luckily when you get on a boat  you get a discount on the normal price for one round last time round  i just asked to pay for people if you want to ride a horse  the price if you want to buy souvenirs is also easy around there  there is a market  you can stay there  it s also easy  there are many hotels available in the sarangan lake area,Positif
416,the view is good  if you can  do not enter the lake area  motorbikes and cars  so that the air is completely clean from pollution and those who walk or ride horse breathe clean and good air,Positif
417,in,Netral
418,the place is crowded with lots of souvenir sellers and typical eating satay ponorogo  there are horseback riding and recommended speedboats,Negatif
419,what a beautiful view,Positif
420,in,Netral
421,good tourist spots cool and beautiful scenery suitable for all ages,Positif
422,translated by google talaga sargan dinging original talaga sargan dinging,Positif
423,in,Netral
424,lots of stalls selling rabbit satay  the atmosphere is cool  you need to add a cafe restaurant,Positif
425,beautiful nature makes the most beautiful memories translated by google beautiful nature makes the most beautiful memories,Positif
426,in,Netral
427,in,Netral
428,from the time i was in elementary school  my family took a vacation here  it s good now  so it s more clean  which is less  maybe there aren t many hotels that are proper  lots of lodging  try the santika accor group or other hotels  open here  i think it ll be really cool,Positif
429,good translated by google good,Positif
430,the place is beautiful  it s just expensive  wkwk,Positif
431,i went to sarangan  from surabaya  an hour trip via the toll road to medan  it was a bit scary  really  if you take a bus  it s parked outside the lake and if you go to the lake  you have to walk a distance first  because there s a motorcycle taxi service  boat x turn rb people ride ducks and forget photo services rb print files rb perjaja one of them is rabbit satay rb how come it doesn t taste any different from chicken satay huh wkwkwk but the satay seasoning g looks like satay in general but this tour is cool guys the price is from all the aspects that i mention in the paragraph above that the price is all the same  there is no competition  so there is no difference in price between sellers  the example from the sales packaging according to me is also similar to the drinking glasses of people who sell pentols  etc  the management is really cool  it s not like being on a malang rock tour  the prices are expensive and the people are friendly here  so the atmosphere is very comfortable in my opinion like in bedugul  it s cool  how about if you want to hang out  enjoy the nice view on the side of the forest  not the entrance to the market  because it s quieter and you can just enjoy it  if you re not tired of going around  take the time to stop by the waterfall  the location across the lake  behind the statue  a girl s plane going there  it s good  good really  i swear  the overall pol cake is for seranganan  joss,Positif
432,cold brrrrr,Negatif
433,the dingy,Netral
434,many times vacationing here  never get tired of the nice view  cool place  foggy  if at night there are lots of culinary sales  so here  especially if the weekend is busy  it is suitable for a vacation,Positif
435,in,Netral
436,in,Netral
437,i wasn t invited so i don t know how the view is hehe,Netral
438,in,Netral
439,to be honest  the place and atmosphere are very beautiful  but it s a shame that the local residents are not friendly except for the seller  even though we just arrived  we were told to leave  even though we just wanted to take pictures for fun  we also have a heart that s all from me thank you,Positif
440,shop for vegetables as much as you like,Positif
441,nice beautiful place,Positif
442,lake to remember translated by google lake to remember,Netral
443,very impressive when riding a water motorbike,Positif
444,the first time to the nest of nests with my beloved husband  the atmosphere is beautiful  just right to stress the mind  enjoy the afternoon here while eating super delicious rabbit satay,Positif
445,i ve been here,Netral
446,nice indeed,Positif
447,nice translated by google nice,Positif
448,translated by google  the air is cool and the scenery is very natural and amazing  the original is cool air and the view is very natural  amazing,Positif
449,in,Netral
450,in,Netral
451,a very beautiful lake but not managed properly  it s a shame that around the lake  the stalls seem messy around the lake  which should be able to walk safely and safely  you can also do it via motorbikes  traders  cars as long as they open fasum stalls from the manager  it s very concerning that many seats have been crossed out  damaged paid toilets it s expensive  rb  even though the entrance ticket is already rb itself  but there s no facilities that can be enjoyed as much as possible  the park for children is also of concern  the worst thing is  the illegal parking is already very expensive  pol  parking  rb per car  where the father asks to use gas without a ticket  so what do you do  i m really lazy to come here again  help the manager to discipline this person,Positif
452,in,Netral
453,comfortable  cool  fun  anyway  if i m here  i forget to go home,Positif
454,in,Netral
455,a good tourist spot for all people  hopefully the cleanliness of the location is maintained,Positif
456,a complete and fun tourist spot for families riding speedboats enjoying rabbit satay when they go home and buy souvenirs,Positif
457,in,Netral
458,the stars who talk to collect to get rid of tiredness at home for a long time here  the view is steady,Positif
459,suitable for a sports vacation walking around the lake,Positif
460,good place  delicious  cool  cold  culinary flagship  nest of nests  delicious and cheap rabbit satay to magetan  you must visit the nest of the nest,Positif
461,nicesssssssss come here again follow our instagram tomo rent a car wonosari yogyakarta,Netral
462,suitable for holidays with friends and family,Positif
463,in,Netral
464,cool place translated by google cool place,Positif
465,translated by google cool and cool suitable for hilling original cool and cool suitable for hilling,Positif
466,in,Netral
467,translated by google the air is cold the original air is cool,Positif
468,in,Netral
469,translated by google the right place to relax with the original family the right place to relax with the family,Positif
470,good,Positif
471,favorite family vacation spot,Positif
472,comfortable quiet atmosphere nice overnight stay,Positif
473,very acimalaka and ambatukam very good the atmosphere is very foggy and kull,Positif
474,cool,Positif
475,in,Netral
476,in,Netral
477,it doesn t disappoint playing to the nest of nests  the experience of coming here many times always comes back because the atmosphere is cool and sometimes foggy  for the culinary itself  there are many things you can try here  such as soto penyetan  fried rice  wedang ronde  but the most selling are chicken or rabbit satay and pecel carrying sellers in the morning there are quite a lot of lodging here  starting from villas  hotels  home stays with varying prices  of course  so be good at negotiating and surve prices for the weekend itself  the prices are usually also higher than weekday prices  while for entertainment we can try speedboats or there are also rides horses around the lake with a price range of rb it seems the price has been set from the association so the price is the same or we can walk around the lake in the morning enjoying the view of the nest of the nest with the cool air on the west side  on the south side there is an entrance to the tirtosari waterfall  to be precise  right where the airplane monument is  the view is no less good  but the road is quite far to get to the waterfall  which is obviously very comfortable staying here for days and days because there are many places to stay that cost affordable but the facilities are also not inferior to expensive hotel facilities,Positif
478,in,Netral
479,expectations and reality are different,Netral
480,i came here when i failed to go to lawu because my period when i came here was really quiet because it was actually closed because of the pandemic  i think it s july  so i don t have a ticket to enter  no people are selling  anyway  it s quiet  just enjoy the natural beauty  i hope when i can come here again  bro,Negatif
481,great for recreation,Positif
482,in,Netral
483,translated by google the place is cool original the place is cool,Positif
484,translated by google heavy rain lurrr original bar udan lurrr,Positif
485,exceeded expectations,Netral
486,in,Netral
487,in,Netral
488,better stay can enjoy the cold atmosphere,Positif
489,translated by google cool clean place is the best original cool clean place top of the tree,Positif
490,a place for family recreation which is refreshing  the air is cool  the lake is clean  many sellers of a variety of fresh vegetables  tubers  the price is not expensive  i recommend,Positif
491,the view is very soothing to the eye at night it is very cold horses are available for the road  recommendation for lodging at villa azalea is nice and close to the lake,Positif
492,it s really mandatory to come here if you re at home  a recommended healing place  especially the chicken satay that collects polls,Negatif
493,view keren,Netral
494,the lake which still has great attraction has visited several times and it s still crowded and even full there  take a speed boat x rounds of rb ,Positif
495,beautiful scenery  there is a lake on the hill  it s just a bit dirty and crowded  especially around markets and hotels,Positif
496,good for a photo spot playing in the water,Positif
497,the location is minutes from tawangmangu  the view is beautiful  if you want to rent a speedboat  it s better to just go round because the rental fee is different,Positif
498,in,Netral
499,in,Netral
